onset	duration	trial_type
20.032	n/a	Instructions
25.065	3.25	Emotion Positive Up
25.065	n/a	Block
28.382	3.25	Emotion Negative Down
31.715	3.25	Emotion Positive Up
35.048	3.25	Emotion Negative Up
38.365	3.25	Emotion Negative Up
41.681	3.25	Emotion Negative Up
44.998	3.25	Emotion Positive Up
48.331	3.25	Emotion Negative Down
51.648	3.25	Emotion Negative Down
54.981	3.25	Emotion Negative Down
58.297	3.25	Emotion Positive Down
61.614	3.25	Emotion Positive Down
64.931	3.25	Emotion Negative Up
68.247	3.25	Emotion Positive Down
71.597	3.25	Emotion Positive Up
74.93	3.25	Emotion Positive Up
78.263	3.25	Emotion Negative Down
81.58	3.25	Emotion Negative Up
84.896	3.25	Emotion Positive Down
88.23	3.25	Emotion Positive Up
91.563	3.25	Emotion Negative Up
94.879	3.25	Emotion Positive Up
98.196	3.25	Emotion Positive Down
101.513	3.25	Emotion Negative Down
104.829	3.25	Emotion Negative Down
108.146	3.25	Emotion Positive Down
111.462	3.25	Emotion Positive Down
114.796	3.25	Emotion Positive Down
118.112	3.25	Emotion Negative Up
121.429	3.25	Emotion Positive Up
124.745	3.25	Emotion Positive Up
128.078	3.25	Emotion Positive Down
131.395	3.25	Emotion Negative Up
134.728	3.25	Emotion Positive Up
158.027	n/a	Instructions
163.077	3.25	Gender Positive Up
163.077	n/a	Block
166.394	3.25	Gender Negative Down
169.727	3.25	Gender Positive Up
173.06	3.25	Gender Negative Up
176.393	3.25	Gender Positive Up
179.727	3.25	Gender Positive Up
183.06	3.25	Gender Negative Up
186.376	3.25	Gender Positive Down
189.693	3.25	Gender Positive Down
193.026	3.25	Gender Positive Up
196.343	3.25	Gender Negative Up
199.626	3.25	Gender Negative Down
202.943	3.25	Gender Positive Down
206.259	3.25	Gender Positive Up
209.576	3.25	Gender Negative Up
212.892	3.25	Gender Positive Down
216.209	3.25	Gender Positive Up
219.525	3.25	Gender Negative Down
222.859	3.25	Gender Negative Down
226.158	3.25	Gender Positive Up
229.492	3.25	Gender Positive Down
232.825	3.25	Gender Positive Down
236.108	3.25	Gender Positive Up
239.425	3.25	Gender Negative Up
242.758	3.25	Gender Positive Up
246.074	3.25	Gender Positive Up
249.408	3.25	Gender Negative Up
252.691	3.25	Gender Negative Down
255.991	3.25	Gender Positive Up
259.324	3.25	Gender Positive Down
262.607	3.25	Gender Negative Up
265.924	3.25	Gender Negative Down
269.24	3.25	Gender Negative Up
272.574	3.25	Gender Negative Up
